,track_name,artist,album,popularity,duration_minutes
93,Blinding Lights,The Weeknd,After Hours,90,3.33
94,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,88,3.04
95,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),84,2.63
96,Starboy,The Weeknd,Starboy,91,3.84
97,As It Was,Harry Styles,As It Was,19,2.79
98,One Dance,Drake,Views,88,2.9
99,STAY (with Justin Bieber),The Kid LAROI,F*CK LOVE 3: OVER YOU,13,2.36
100,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,76,3.49
101,Heat Waves,Glass Animals,Dreamland (+ Bonus Levels),18,3.98
102,Perfect,Ed Sheeran,÷ (Deluxe),90,4.39
103,Closer,The Chainsmokers,Closer,89,4.08
